algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.152053465621142,4.875054836273193,0.052390336990356445,4.822664499282837,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.806306397468067,5.101264953613281,0.04787135124206543,5.053393602371216,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.863420485679008,5.026120185852051,0.04423189163208008,4.981888294219971,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.216158109146349,4.926258325576782,0.031305551528930664,4.894952774047852,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.0550217687466,4.931110143661499,0.04977130889892578,4.881338834762573,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.796777286439875,4.986717700958252,0.036943912506103516,4.949773788452148,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.933996433268143,4.669218301773071,0.043061256408691406,4.62615704536438,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.147463352269307,4.976188898086548,0.05381941795349121,4.922369480133057,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.956531698441914,5.021005868911743,0.050611019134521484,4.970394849777222,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.780051630689934,4.715663194656372,0.032845258712768555,4.6828179359436035,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.239177842148811,2.246288776397705,0.04876351356506348,2.1975252628326416,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.321084306855193,2.2069034576416016,0.03944110870361328,2.1674623489379883,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.365005325371472,2.223029851913452,0.0310666561126709,2.1919631958007812,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.539313004479846,2.2489848136901855,0.03593754768371582,2.2130472660064697,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.514943718176821,2.1705098152160645,0.04091620445251465,2.12959361076355,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.356483085623132,2.371079921722412,0.03995919227600098,2.331120729446411,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.4093405541556345,2.399218797683716,0.049939870834350586,2.3492789268493652,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.452236626762527,2.33324933052063,0.03754925727844238,2.2957000732421875,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.67655894966207,2.224447727203369,0.045601844787597656,2.1788458824157715,,,,,,central,

