algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.130809177021964,19.641127586364746,10.746716260910034,8.894411325454712,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.136443164289524,19.989980697631836,11.219457864761353,8.770522832870483,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.251898113211189,20.149018049240112,11.260952711105347,8.888065338134766,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.200673142655328,19.911614894866943,11.028979063034058,8.882635831832886,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.224050552095854,19.38135027885437,10.916196346282959,8.465153932571411,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.217928254414824,19.587237119674683,10.732473134994507,8.854763984680176,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.297333481801305,19.84731650352478,10.929945468902588,8.917371034622192,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.337940526582479,19.546733617782593,10.697831153869629,8.848902463912964,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.143637337749341,19.302048206329346,10.75079083442688,8.551257371902466,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,8.191653995677472,19.804380416870117,10.56033968925476,9.244040727615356,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.712972102522802,19.441129207611084,10.956650018692017,8.484479188919067,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.568660019706061,19.825865983963013,10.884585618972778,8.941280364990234,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.656353176962865,19.252023935317993,11.195382833480835,8.056641101837158,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.736103955804271,19.321000337600708,13.078697443008423,6.242302894592285,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.654784484806456,19.345628023147583,13.155109405517578,6.190518617630005,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.601012323996407,18.728328466415405,12.621997356414795,6.10633111000061,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.71820452519682,18.817790031433105,12.955595970153809,5.862194061279297,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.651071034640232,18.83434247970581,12.845821142196655,5.988521337509155,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.721822057344925,19.46681571006775,13.384526014328003,6.082289695739746,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,7.64524977903166,19.399081230163574,13.159452199935913,6.239629030227661,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.605491984487744,20.709941864013672,14.113516807556152,6.5964250564575195,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.53737283813572,19.645150423049927,12.834889650344849,6.810260772705078,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.537635605743763,20.02269148826599,13.322608947753906,6.700082540512085,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.44178005589563,19.67045831680298,12.815237522125244,6.855220794677734,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.528311433299077,20.229005336761475,13.427229166030884,6.801776170730591,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.60517670892984,19.47762942314148,12.82050347328186,6.657125949859619,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.440291827571956,20.993738412857056,13.982308626174927,7.011429786682129,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.554034210934006,20.871095180511475,13.850263833999634,7.020831346511841,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.472462809440476,20.417479991912842,13.422544717788696,6.9949352741241455,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.596769448816955,20.921339988708496,13.769801378250122,7.151538610458374,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.909165296339072,20.393670558929443,13.537380933761597,6.856289625167847,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.870813677504547,21.121389150619507,13.92638349533081,7.195005655288696,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,11.023659613219547,20.87110996246338,13.621928215026855,7.249181747436523,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.886902275624962,20.221633672714233,12.970840454101562,7.250793218612671,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.8805420706017,20.73965835571289,13.679438591003418,7.060219764709473,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,11.018444046415954,20.956284284591675,13.640086889266968,7.316197395324707,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.979579067889551,20.882155895233154,13.796090602874756,7.086065292358398,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.940233980220738,20.698261976242065,13.562179327011108,7.136082649230957,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.889458897159804,20.37777042388916,13.35730504989624,7.02046537399292,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,11.049347374550322,19.831756353378296,13.064865589141846,6.76689076423645,,,,,,central,

NLSM,HestonWithVar,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,50,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,18.665752776374994,28.85673451423645,14.584086656570435,14.272647857666016,,,,,,central,

