algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.063003507775198,4.5878496170043945,0.14777326583862305,4.4400763511657715,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.042977586331482,4.43230128288269,0.1876230239868164,4.244678258895874,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.175950399504868,4.553065538406372,0.16014575958251953,4.3929197788238525,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.161454047096617,4.508037328720093,0.18526434898376465,4.322772979736328,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.250532190927696,4.471559286117554,0.19171380996704102,4.279845476150513,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.155260221818269,4.458172082901001,0.2530796527862549,4.205092430114746,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.197253775301396,4.495451211929321,0.2499551773071289,4.245496034622192,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.177228723941608,4.504595994949341,0.2735269069671631,4.231069087982178,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,4.997464150929167,4.469064712524414,0.2296156883239746,4.2394490242004395,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.111680864140498,4.484247446060181,0.19162440299987793,4.292623043060303,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,4.815105538673529,4.498924732208252,0.2555246353149414,4.2434000968933105,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,4.960887741730536,4.443717002868652,0.2821674346923828,4.1615495681762695,,,,,,central,

