algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,9.750429765836255,238.8735635280609,0.33990979194641113,238.5336537361145,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.555219261551677,243.6802306175232,0.1729419231414795,243.5072886943817,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,16.657541347447992,245.3467149734497,0.24825215339660645,245.0984628200531,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,13.0998979574455,244.36785340309143,0.1895594596862793,244.17829394340515,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.179198678716688,239.36087679862976,0.3425579071044922,239.01831889152527,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.735212336150653,243.22654843330383,0.17993831634521484,243.04661011695862,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,11.35973595456874,241.7249402999878,0.6137917041778564,241.11114859580994,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,10.161846652540067,249.79177165031433,0.518214225769043,249.2735574245453,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,13.375509028538147,244.4128782749176,0.6245381832122803,243.78834009170532,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,True,True,False,12.334416444766097,253.1450982093811,0.49042391777038574,252.65467429161072,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,11.548578007400417,247.7856752872467,0.5533661842346191,247.23230910301208,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,11.07850246854199,246.98737049102783,0.6191039085388184,246.368266582489,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,17.661749094133675,241.47995328903198,0.6540467739105225,240.82590651512146,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,10.667379105243372,248.77611446380615,0.5853700637817383,248.1907444000244,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,12.66756989495499,124.76552438735962,0.4095032215118408,124.35602116584778,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,400,"(1.0, 1.0, 1.0)",1.0,False,True,False,18.37857047806802,123.29834413528442,0.4338808059692383,122.86446332931519,,,,,,central,

