algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,21.6992274346855,6.54440975189209,0.6772181987762451,5.867191553115845,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,24.055926411535964,6.939155340194702,0.7071249485015869,6.232030391693115,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,24.992913795741867,7.240721225738525,0.7420101165771484,6.498711109161377,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,23.15491180740119,5.888296127319336,0.626746654510498,5.261549472808838,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,24.840134512065617,6.648208141326904,0.6069679260253906,6.041240215301514,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,20.483986404133063,7.047060251235962,0.7028133869171143,6.344246864318848,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,7.692852751400956,6.231371641159058,0.6825144290924072,5.54885721206665,,,,,,central,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,False,24.477336196913708,6.503935098648071,0.6065864562988281,5.897348642349243,,,,,,central,

