algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.0315887013324434,5.406079053878784,0.049025774002075195,5.357053279876709,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1683308287023233,5.6438353061676025,0.04414248466491699,5.5996928215026855,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1820217542848572,5.349780321121216,0.04512619972229004,5.304654121398926,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1842128211891687,5.326643705368042,0.04928231239318848,5.2773613929748535,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.0382692634401047,5.281843662261963,0.0417020320892334,5.2401416301727295,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1717314850479328,5.524892091751099,0.03894758224487305,5.485944509506226,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1042004076043692,5.629658460617065,0.04415321350097656,5.585505247116089,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.0259831914714694,5.389722585678101,0.053701162338256836,5.336021423339844,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.0227327997167837,5.432861566543579,0.04002857208251953,5.39283299446106,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,True,True,False,1.1921770545616677,5.365254878997803,0.05239510536193848,5.312859773635864,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1673215666609231,5.546911239624023,0.03899526596069336,5.50791597366333,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.0799956661262315,5.352749824523926,0.0519413948059082,5.300808429718018,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.0867138416060387,5.403483629226685,0.04900050163269043,5.354483127593994,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1594027363002444,5.370692491531372,0.05348849296569824,5.317203998565674,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1662916386319222,0.7566812038421631,0.07429146766662598,0.6823897361755371,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1680644340189952,0.7930583953857422,0.07278323173522949,0.7202751636505127,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1580857731216048,0.810112714767456,0.07364726066589355,0.7364654541015625,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1634232176405257,0.827960729598999,0.07597780227661133,0.7519829273223877,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1644370228142635,0.7848985195159912,0.0811164379119873,0.7037820816040039,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1,False,True,False,1.1571945327248052,0.8140406608581543,0.0715939998626709,0.7424466609954834,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.1906073006091844,0.8175160884857178,0.07775020599365234,0.7397658824920654,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.0873538326514924,0.8392412662506104,0.08014607429504395,0.7590951919555664,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.0998592652625523,0.8109066486358643,0.08242249488830566,0.7284841537475586,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.091403847900776,0.8149521350860596,0.08545255661010742,0.7294995784759521,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.1813176471634301,0.7615683078765869,0.07652902603149414,0.6850392818450928,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.1757177373465988,0.7895874977111816,0.07151150703430176,0.7180759906768799,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.1853755188836637,0.823101282119751,0.05512857437133789,0.7679727077484131,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.1768980525788455,0.7882559299468994,0.04959368705749512,0.7386622428894043,,,,,,central,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,1,20000,10,80,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",nan,True,True,False,1.181204242590765,0.805030345916748,0.03844046592712402,0.766589879989624,,,,,,central,

